date,k,k_std,CI95_k,CI95_k2,CI95_k_std,k2,k_7davg,k_std_7davg,CI95_k_7davg,CI95_k2_7davg,CI95_k_std_7davg,k2_7davg
2020-02-17,14.471045322408042,47.47807882335908,,,,,,,,,,
2020-02-18,16.11530096891602,57.61419997602257,,,,,,,,,,
2020-02-19,16.083013382435325,65.09103280980547,,,,,,,,,,
2020-02-20,22.02014694464522,101.01080391197753,,,,,,,,,,
2020-02-21,19.293096656244728,84.08172307095653,,,,,,,,,,
2020-02-22,33.51212761702933,225.71389255034674,,,,,,,,,,
2020-02-23,22.100086600992093,169.29159952533757,,,,,20.513545356095822,107.18304723825793,,,,
2020-02-24,19.098796766550628,56.81431198991989,,,,,21.174652705259053,108.51679483348092,,,,
2020-02-25,16.7571357169536,48.06149721183853,,,,,21.26634338355013,107.15212301002603,,,,
2020-02-26,15.624067906714115,41.836680356024054,,,,,21.20077974416139,103.83007265948584,,,,
2020-02-27,16.296934839942303,34.22425211245378,,,,,20.383178014918112,94.2891366881253,,,,
2020-02-28,20.26761685494858,112.78924556386357,,,,,20.52239518616152,98.39021132996916,,,,
2020-02-29,24.18310255291172,124.76633887413894,,,,,19.189677319859005,83.96913223336806,,,,
2020-03-01,18.56844189867565,142.99842853507522,,,,,18.685156648099515,80.21296494904485,,,,
2020-03-02,16.58866558375683,45.90275097827817,,,,,18.326566479128967,78.65417051881033,,,,
2020-03-03,19.12481615766509,140.6495166188748,,,,,18.664806542087753,91.88103043410122,,,,
2020-03-04,16.740004603482163,57.47092035247213,,,,,18.82422607019748,94.11449329073665,,,,
2020-03-05,17.226599291171627,99.99499759387282,,,,,18.957035277515953,103.51031407379652,,,,
2020-03-06,19.562367123926645,96.59770932915545,,,,,18.85628531594139,101.19723746883822,,,,
2020-03-07,24.621806725562397,146.37352438059605,,,,,18.918957340605772,104.28397825547495,,,,
2020-03-08,18.06143696493004,133.46795172141324,,,,,18.8465280643564,102.92248156780894,,,,
2020-03-09,15.485580338802032,30.510757286043738,,,,,18.688944457934287,100.72362532606117,,,,
2020-03-10,16.21120819841822,38.91333278163122,,,,,18.272714749470445,86.18988477788352,,,,
2020-03-11,15.678189491110494,26.752910886510087,,,,,18.12102687627449,81.80159771131751,,,,
2020-03-12,15.845597321779428,24.27093631637493,,,,,17.923740880647035,70.98387467167495,,,,
2020-03-13,16.558498106441547,23.88557625348999,,,,,17.494616735292023,60.596427089437036,,,,
2020-03-14,13.987239321923106,19.542786523908745,,,,,15.975392820486409,42.47775025276742,,,,
2020-03-15,10.53355443069142,13.496941558316493,,,,,14.899981029880893,25.33903451518217,,,,
2020-03-16,13.919315707004982,18.496675040565133,,,,,14.676228939624172,23.62273705154237,,,,
2020-03-17,11.49679337343476,15.303503746048145,,,,,14.002741107483677,20.24990433217336,,,,
2020-03-18,9.558139209706692,13.380152011204084,,,,,13.128448210140277,18.339510207129646,,,,
2020-03-19,9.60701812904619,13.173635778895372,,,,,12.237222611178385,16.754181558918283,,,,
2020-03-20,9.412259431667064,12.643968225442,,,,,11.21633137192489,15.148237554911423,,,,
2020-03-21,8.305803798039676,10.376595202790082,,,,,10.404697725655826,13.838781651894474,,,,
2020-03-22,7.840216803980764,9.128247705982375,,,,,10.019935207554303,13.214682530132455,,,,
2020-03-23,9.20177358908634,12.015283255687628,,,,,9.346000619280213,12.288769418007096,,,,
2020-03-24,8.7624547686241,11.216121959626483,,,,,8.955380818592975,11.704857734232576,,,,
2020-03-25,8.144867225848852,10.85242564908769,,,,,8.753484820898999,11.343753968215948,,,,
2020-03-26,8.630952550549921,11.301674206889661,,,,,8.614046881113817,11.076330886500845,,,,
2020-03-27,8.764584961898047,11.192501821439427,,,,,8.5215219568611,10.868978543071906,,,,
2020-03-28,8.088753336259659,9.69354303656884,,,,,8.490514748035384,10.771399662183157,,,,
2020-03-29,7.87949690214193,9.13468719540982,,,,,8.496126190629836,10.772319589244221,,,,
2020-03-30,9.125740029088302,11.372493384171815,,,,,8.485264253487259,10.680492464741961,,,,
2020-03-31,9.03964453801785,11.242361648299214,,,,,8.52486279197208,10.684240991695209,,,,
2020-04-01,8.78341429453178,10.757174672742154,,,,,8.616083801783928,10.670633709360134,,,,
2020-04-02,9.001432896801226,11.472563676179831,,,,,8.669009565534115,10.6950464906873,,,,
2020-04-03,9.212743323893111,11.61947873559461,,,,,8.733032188676265,10.75604319270947,,,,
2020-04-04,8.513416422960654,10.390987897814709,,,,,8.793698343919266,10.855678172887451,,,,
2020-04-05,7.8976937898510995,9.61077440440601,,,,,8.796297899306289,10.923690631315477,,,,
2020-04-06,9.03212107407971,11.650104097476468,,,,,8.782923762876491,10.963349304644714,,,,
2020-04-07,9.13084921172948,11.688023238130283,,,,,8.795953001978152,11.027015246049151,,,,
