date,CI95_k_Saarland,CI95_k_Sachsen,CI95_k_Hessen,CI95_k_Brandenburg,CI95_k_Nordrhein-Westfalen,CI95_k_Bremen,CI95_k_Hamburg,CI95_k_Mecklenburg-Vorpommern,CI95_k_Baden-Wuerttemberg,CI95_k_Berlin,CI95_k_Thueringen,CI95_k_Rheinland-Pfalz,CI95_k_Sachsen-Anhalt,CI95_k_Niedersachsen,CI95_k_Bayern,CI95_k_Schleswig-Holstein,CI95_k_std_Schleswig-Holstein,CI95_k_std_Hamburg,CI95_k_std_Niedersachsen,CI95_k_std_Bremen,CI95_k_std_Nordrhein-Westfalen,CI95_k_std_Hessen,CI95_k_std_Rheinland-Pfalz,CI95_k_std_Baden-Wuerttemberg,CI95_k_std_Bayern,CI95_k_std_Saarland,CI95_k_std_Berlin,CI95_k_std_Brandenburg,CI95_k_std_Mecklenburg-Vorpommern,CI95_k_std_Sachsen,CI95_k_std_Sachsen-Anhalt,CI95_k_std_Thueringen,k_Schleswig-Holstein,k_Hamburg,k_Niedersachsen,k_Bremen,k_Nordrhein-Westfalen,k_Hessen,k_Rheinland-Pfalz,k_Baden-Wuerttemberg,k_Bayern,k_Saarland,k_Berlin,k_Brandenburg,k_Mecklenburg-Vorpommern,k_Sachsen,k_Sachsen-Anhalt,k_Thueringen,k_std_Schleswig-Holstein,k_std_Hamburg,k_std_Niedersachsen,k_std_Bremen,k_std_Nordrhein-Westfalen,k_std_Hessen,k_std_Rheinland-Pfalz,k_std_Baden-Wuerttemberg,k_std_Bayern,k_std_Saarland,k_std_Berlin,k_std_Brandenburg,k_std_Mecklenburg-Vorpommern,k_std_Sachsen,k_std_Sachsen-Anhalt,k_std_Thueringen,CI95_k_Saarland_7davg,CI95_k_Sachsen_7davg,CI95_k_Hessen_7davg,CI95_k_Brandenburg_7davg,CI95_k_Nordrhein-Westfalen_7davg,CI95_k_Bremen_7davg,CI95_k_Hamburg_7davg,CI95_k_Mecklenburg-Vorpommern_7davg,CI95_k_Baden-Wuerttemberg_7davg,CI95_k_Berlin_7davg,CI95_k_Thueringen_7davg,CI95_k_Rheinland-Pfalz_7davg,CI95_k_Sachsen-Anhalt_7davg,CI95_k_Niedersachsen_7davg,CI95_k_Bayern_7davg,CI95_k_Schleswig-Holstein_7davg,CI95_k_std_Schleswig-Holstein_7davg,CI95_k_std_Hamburg_7davg,CI95_k_std_Niedersachsen_7davg,CI95_k_std_Bremen_7davg,CI95_k_std_Nordrhein-Westfalen_7davg,CI95_k_std_Hessen_7davg,CI95_k_std_Rheinland-Pfalz_7davg,CI95_k_std_Baden-Wuerttemberg_7davg,CI95_k_std_Bayern_7davg,CI95_k_std_Saarland_7davg,CI95_k_std_Berlin_7davg,CI95_k_std_Brandenburg_7davg,CI95_k_std_Mecklenburg-Vorpommern_7davg,CI95_k_std_Sachsen_7davg,CI95_k_std_Sachsen-Anhalt_7davg,CI95_k_std_Thueringen_7davg,k_Schleswig-Holstein_7davg,k_Hamburg_7davg,k_Niedersachsen_7davg,k_Bremen_7davg,k_Nordrhein-Westfalen_7davg,k_Hessen_7davg,k_Rheinland-Pfalz_7davg,k_Baden-Wuerttemberg_7davg,k_Bayern_7davg,k_Saarland_7davg,k_Berlin_7davg,k_Brandenburg_7davg,k_Mecklenburg-Vorpommern_7davg,k_Sachsen_7davg,k_Sachsen-Anhalt_7davg,k_Thueringen_7davg,k_std_Schleswig-Holstein_7davg,k_std_Hamburg_7davg,k_std_Niedersachsen_7davg,k_std_Bremen_7davg,k_std_Nordrhein-Westfalen_7davg,k_std_Hessen_7davg,k_std_Rheinland-Pfalz_7davg,k_std_Baden-Wuerttemberg_7davg,k_std_Bayern_7davg,k_std_Saarland_7davg,k_std_Berlin_7davg,k_std_Brandenburg_7davg,k_std_Mecklenburg-Vorpommern_7davg,k_std_Sachsen_7davg,k_std_Sachsen-Anhalt_7davg,k_std_Thueringen_7davg
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,1.2257327,0.3006726,0.33986455,0.34706238,0.16828667,1.1695094,1.3521466,0.37164098,0.2465409,0.9330101,0.3974868,0.48427716,0.33212668,0.20551777,0.2810197,0.3206304,7.8365308358873405,34.26858342664089,5.296931033919521,31.460608865550725,4.372920786176795,10.00629594642808,13.398859921681453,7.4819302275606825,9.261392424047454,29.329754881190134,25.834926148709485,8.321076110083055,8.729474359618019,6.878599096780595,6.845834218325861,8.897311992941312,8.666786,16.83685,8.598446,11.072229,9.704304,9.487296,10.76614,8.923402,9.849346,12.671083,16.501415,7.930041,8.404396,9.4811325,8.858919,9.542074,10.454267016003657,22.93546357185963,10.395565817822423,13.934150831020704,12.388806432929364,12.682345073759821,14.338099639964845,11.455117028718737,12.14077784325296,19.60363338890615,36.28597631899926,11.053358319520001,9.94020125873576,12.545930863124756,12.214224085257852,11.974265732718145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,1.2548568,0.31648502,0.359365,0.36327782,0.17647867,1.144356,1.4111912,0.3873842,0.25819877,0.8783642,0.40629813,0.49360135,0.34984678,0.21026133,0.29987606,0.31787157,8.035615700077033,37.32300783544489,5.270771630576888,33.21329814845219,4.384354309604833,10.131659122502866,13.57357235664599,7.690195035662598,9.245286275300678,31.23615106669251,22.650973756448355,9.02363985136774,8.401619948989,7.200990854066959,7.176236287600715,9.74506366366248,8.297646,17.887955,8.510849,10.067352,10.262531,10.139808,10.7859955,9.465649,10.698668,12.904671,16.721464,8.521712,8.501274,9.762737,9.372827,9.609816,9.829153767835967,22.339650265998905,11.234125868613944,13.899371756189558,12.882953669350517,13.393844293034318,14.461231003947354,11.859705531122264,13.384243850734938,19.68827596481119,25.927264006940337,10.664513213818623,11.045880821719651,13.619840932285591,13.072529735237973,11.44301505900154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,1.2670403,0.31883112,0.36333647,0.37856615,0.17611331,1.152077,1.3141874,0.3908242,0.2470016,0.88946146,0.41374627,0.5035094,0.3170792,0.21531835,0.28202978,0.33653256,8.114622501550441,43.0298505756715,5.361397989578532,39.832851323931166,4.513374719358022,10.240618944234711,14.205013153320857,8.205103280495031,10.987330964418373,34.803694549758475,22.694608959171166,8.813826753399681,9.104466452552801,7.006043899626872,8.159293368898565,9.555481429556137,8.980458,16.381266,8.878497,10.689079,10.229252,10.46729,11.003784,8.23546,9.118178,13.683374,16.64385,8.852474,8.857972,9.944353,7.9369793,9.825702,11.193982601412065,16.37465366545821,11.158207170539583,10.794150088175817,12.541710904612017,13.126710905436289,14.347037594785064,10.58908726645125,10.289153888080497,16.47844472762196,27.76667043733818,12.31206053457771,10.069644771306088,13.360997036980699,8.97287321418225,12.177943475784735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,1.2759216,0.32151812,0.36534846,0.37626177,0.18137373,1.2136748,1.412818,0.40746447,0.26427838,0.89495546,0.40421906,0.4979201,0.3431572,0.21255009,0.30026534,0.34404483,7.881721291972404,39.4750607759344,5.5466281277500915,36.24446191170911,4.289370110512657,10.595920739316487,14.371681973299951,7.607642480080397,9.242121075909226,33.59016329764936,19.7326353244332,8.535531328086329,8.491903571618666,6.960389041816548,7.70383686017893,9.655030749459536,9.171859,18.356024,8.974863,11.820058,10.74017,10.815963,11.231653,10.041565,10.815494,13.80501,17.79817,9.001785,9.32636,10.348239,9.451051,9.734659,12.957742347312243,21.596827399024885,10.495181068896859,12.44880970930177,13.996569403661384,12.840666452085655,13.257418713424872,12.368390245059784,13.694850455460111,18.111752713657506,26.048534147664622,12.173963168919768,11.948650961357938,13.434904334741725,11.711030151473695,11.125781901314532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,1.2705344,0.33144814,0.37459072,0.39360276,0.18292531,1.2069972,1.4102288,0.399539,0.2655295,0.89224386,0.42057535,0.5132955,0.34729677,0.22180533,0.3112689,0.3470201,8.036927832038813,35.7352830251436,5.417233068998834,41.93506025462596,4.416688355610969,10.48630998559954,14.160283072221757,7.625845461662132,9.246177428471942,34.57588003801817,22.339448344963333,8.744869519879398,8.960537170791957,7.237375966058647,7.3391939034272795,9.517197771758246,9.513161,17.548225,9.458941,12.18214,10.772591,10.680759,11.372706,9.872687,11.253458,13.824429,17.579071,9.438831,9.160792,10.72416,9.571532,10.124963,11.588994767495107,24.249270898400738,11.581075252558156,10.082220736378469,14.062991066926234,15.741896715891544,15.213143340826182,12.930013404287948,14.744918523804193,16.754051128784702,25.323300541015165,13.391597786630355,10.891939453585666,14.13587311270726,11.622035861464893,12.242178214947003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,1.232472,0.3063473,0.3715413,0.37982327,0.1795215,1.2140833,1.3276002,0.3912297,0.26520994,0.8864589,0.39850518,0.51407605,0.33413726,0.21568112,0.304257,0.33928406,8.40244049301745,39.85368797674782,5.8699003738021025,47.40277490387253,4.749718100614816,11.126090688894031,14.907927655173188,7.867609152928228,9.895835681036244,35.788782987046744,21.443402098809365,10.724799905560552,9.745656568201108,8.147306371820177,7.945451368181859,10.759580724871443,8.5310955,15.057652,8.708186,11.686567,10.120094,10.050974,10.909139,9.592497,10.482469,12.524652,16.297697,8.392208,8.420071,9.012521,8.578869,8.800067,11.460520894269454,19.18835634929266,10.094250022719171,9.08640886921896,12.238456602961014,15.348694656487371,14.315626610300228,12.140238375276699,13.092757053734138,15.754430511915306,22.78031698560516,11.253519825616163,9.404113617154996,10.509075890005649,9.895850557983989,9.902309879774062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,1.197072,0.29874966,0.3509607,0.36066654,0.16377115,1.1248906,1.2891268,0.36607668,0.2475523,0.82271206,0.38163128,0.47400394,0.31530768,0.19850998,0.28868753,0.30662704,9.006646549053045,37.93928913423594,6.19121194011028,52.639336436097494,5.10263149812169,12.435480190368963,18.346691838552868,8.890613461650196,10.724917602836278,35.781358026179234,23.7703200941909,10.531037390138394,10.520761190152855,8.193758102884711,8.025794710539074,10.95522272098139,7.1464434,12.98386,7.353233,9.587777,8.455642,8.841349,9.37357,8.361854,9.272348,11.470466,14.180016,7.602587,7.374007,8.314538,7.4426227,7.9869666,8.497849720616188,20.881382004464168,8.360767664663456,7.406382747678078,9.613590073011434,13.587202786409607,9.89912041340492,9.598126584287789,11.316778100870584,15.688759013588042,18.045268931941134,9.256722046479087,8.294188122316253,10.585830992410942,9.407117405106392,9.01873570885635,1.2462328285714286,0.3134359942857143,0.3607153142857143,0.3713229557142857,0.17549576285714288,1.175084042857143,1.3596141428571429,0.38773703285714284,0.2563301985714285,0.8853151485714286,0.4032088671428572,0.49724050000000003,0.33413593857142854,0.21137771,0.29534347285714285,0.33028722285714285,8.187786457656646,38.232108964259865,5.564867737819464,40.389770263462744,4.547008268571397,10.71748223104924,14.709147138699437,7.909848442862752,9.8004373502886,33.586540692362085,22.63804496096083,9.24211155121645,9.136345608846344,7.374923333293501,7.59937724530747,9.86926986474722,8.615349842857142,16.435976,8.640430714285714,11.015028857142857,10.040654857142856,10.069062714285716,10.777569642857143,9.213302,10.21285157142857,12.983383571428572,16.531669,8.534234,8.577838857142856,9.655382928571429,8.744685714285714,9.374892514285715,10.854644444992099,21.080800593499884,10.474167552259084,11.093070676851909,12.53215402192171,13.817337269014944,13.690239616664782,11.562954062172068,12.66621138799106,17.439906778469265,26.025333052786266,11.443676413651673,10.22780271516805,12.598921880322376,10.985094430101006,11.126318567485196
