NUTS1,dayWeekStart,heart_rate
DE1,2020-05-04,60.43199783709462
DE1,2020-05-11,60.15006864707937
DE1,2020-05-18,60.749041781371005
DE1,2020-05-25,60.399889481836894
DE1,2020-06-01,60.587276241529224
DE1,2020-06-08,60.43534472524111
DE1,2020-06-15,60.510967706511735
DE1,2020-06-22,61.16099946508778
DE1,2020-06-29,60.70462784639098
DE1,2020-07-06,60.50239601528125
DE1,2020-07-13,60.363136684362516
DE1,2020-07-20,61.81207170430615
DE1,2020-07-27,61.870233964404235
DE1,2020-08-03,60.562268998483106
DE1,2020-08-10,60.86543426962956
DE1,2020-08-17,60.44124436578441
DE1,2020-08-24,59.86679000345932
DE1,2020-08-31,60.12766407207478
DE1,2020-09-07,60.64009904530014
DE1,2020-09-14,60.81957239531167
DE1,2020-09-21,60.37690925949868
DE1,2020-09-28,60.61082366891274
DE1,2020-10-05,60.53942133072212
DE1,2020-10-12,60.460772735628886
DE1,2020-10-19,60.679839163098556
DE1,2020-10-26,60.32719768756716
DE1,2020-11-02,60.156910344904986
DE1,2020-11-09,60.17540114167904
DE1,2020-11-16,59.94999397927867
DE1,2020-11-23,60.18906557245643
DE1,2020-11-30,60.51272768226891
DE1,2020-12-07,60.77187588368998
DE1,2020-12-14,60.522672573421694
DE1,2020-12-21,60.452739801109715
DE1,2020-12-28,60.70259161498715
DE1,2021-01-04,60.06066902593036
DE1,2021-01-11,59.847617432668
DE1,2021-01-18,59.89160336406915
DE1,2021-01-25,59.919301194841154
DE1,2021-02-01,59.99685896178698
DE1,2021-02-08,59.80758247541495
DE1,2021-02-15,60.15730787010363
DE1,2021-02-22,59.8939449889181
DE1,2021-03-01,59.71931877388816
DE1,2021-03-08,59.80921713554092
DE1,2021-03-15,59.827813586842375
DE1,2021-03-22,60.152729732602616
DE1,2021-03-29,60.20077160329163
DE1,2021-04-05,60.10201818784513
DE1,2021-04-12,59.9130863583991
DE1,2021-04-19,60.33731388363521
DE1,2021-04-26,59.993334941944795
DE1,2021-05-03,60.141339519838645
DE1,2021-05-10,60.0829773621083
DE1,2021-05-17,59.94656995598199
DE1,2021-05-24,60.17277823270585
DE1,2021-05-31,60.75964409615725
DE1,2021-06-07,60.55662752705696
DE1,2021-06-14,61.313089767040594
DE1,2021-06-21,60.1420090744983
DE1,2021-06-28,59.90260158188044
DE1,2021-07-05,59.89643594865289
DE1,2021-07-12,59.953886180944494
DE1,2021-07-19,60.44831740134067
DE1,2021-07-26,60.019727206818374
DE1,2021-08-02,59.60803813266279
DE1,2021-08-09,60.508766321187395
DE1,2021-08-16,59.76736209386186
DE1,2021-08-23,59.482783365331784
DE1,2021-08-30,60.10861042202976
DE1,2021-09-06,60.42635359622174
DE1,2021-09-13,59.960166679177
DE1,2021-09-20,59.79769900403039
DE1,2021-09-27,59.87690613031278
DE1,2021-10-04,59.7867350526966
DE1,2021-10-11,60.02769146474126
DE1,2021-10-18,60.599347192205606
DE1,2021-10-25,60.88134562792045
DE1,2021-11-01,60.78549151240214
DE1,2021-11-08,60.9012518816328
DE1,2021-11-15,60.892222675552944
DE1,2021-11-22,60.97433566822646
DE1,2021-11-29,61.20195836967735
DE1,2021-12-06,61.231510793308225
DE1,2021-12-13,61.036040675827444
DE1,2021-12-20,61.25897601913837
DE1,2021-12-27,61.62883926707091
DE1,2022-01-03,60.73003657932507
DE1,2022-01-10,60.30379637356318
DE1,2022-01-17,60.22967979758341
DE1,2022-01-24,60.264704897162815
DE1,2022-01-31,60.3846428514836
DE1,2022-02-07,60.40744648561225
DE1,2022-02-14,60.46229220599029
DE1,2022-02-21,60.53759586924282
DE1,2022-02-28,60.657156601449344
DE1,2022-03-07,60.759884585538174
DE1,2022-03-14,60.441026991816614
DE1,2022-03-21,60.70926966910007
DE1,2022-03-28,60.274656485292525
DE1,2022-04-04,60.38953329060609
DE1,2022-04-11,60.66277636256372
DE1,2022-04-18,60.875811736184154
DE2,2020-05-04,60.266090005408024
DE2,2020-05-11,60.03660015446108
DE2,2020-05-18,60.49030798333993
DE2,2020-05-25,59.9798641793314
DE2,2020-06-01,60.44826459279641
DE2,2020-06-08,60.48053811441331
DE2,2020-06-15,60.11167357723183
DE2,2020-06-22,60.9017897623151
DE2,2020-06-29,60.60253232472604
DE2,2020-07-06,60.27384099747437
DE2,2020-07-13,60.161713986454686
DE2,2020-07-20,61.707582170512914
DE2,2020-07-27,61.939127677335414
DE2,2020-08-03,60.34894205251787
DE2,2020-08-10,60.640691663540224
DE2,2020-08-17,60.27918286940799
DE2,2020-08-24,59.75206998473235
DE2,2020-08-31,59.89818838842759
DE2,2020-09-07,60.37804050321795
DE2,2020-09-14,60.501860295396696
DE2,2020-09-21,60.173700928262896
DE2,2020-09-28,60.407947032609854
DE2,2020-10-05,60.30746265179691
DE2,2020-10-12,60.280316525564196
DE2,2020-10-19,60.47649802188238
DE2,2020-10-26,60.13752482136315
DE2,2020-11-02,60.024339403458995
DE2,2020-11-09,60.05125590123738
DE2,2020-11-16,59.831993949124445
DE2,2020-11-23,60.03921673609626
DE2,2020-11-30,60.419066191804234
DE2,2020-12-07,60.68584631301501
DE2,2020-12-14,60.42395100782083
DE2,2020-12-21,60.331005068680774
DE2,2020-12-28,60.607909473326465
DE2,2021-01-04,59.93403321890412
DE2,2021-01-11,59.638134963103575
DE2,2021-01-18,59.76627150258207
DE2,2021-01-25,59.73876471291817
DE2,2021-02-01,59.82367933763041
DE2,2021-02-08,59.71613001908722
DE2,2021-02-15,59.90479121440402
DE2,2021-02-22,59.653261064283825
